council,person
Siluanus,403Carth
Alypius,403Carth
Augustinus,403Carth
Possidius,403Carth
Sanctippus,
Dulcitius,403Carth
Laetus notarius,403Carth
,
Theasius,404Carth
Euodius,404Carth
Aurelius,404Carth
Equitius,
,
Mizonius,405Carth
,
Aurelius,407Carth
Vincentius,407Carth
Fortunatiano,407Carth
Primosus,
Sanctippus,
Maurentius,407Carth
"Augustinus ""sanctum Augustinum""",407Carth
Florentius,
Theasius,
Samsucius,
Secundus,
Possidius,
,
Fortunatianus,408CarthJun
,
Restitutus,408CarthOct
Florentius,408CarthOct
Seuerus,
Macarius,
Euodius,
Theasius,
Victor,
,
Florentius,410Carth
Possidius,410Carth
Praesidius,410Carth
Benenatus,410Carth
,
Aurelius,418Carth
Vincentius,
Fortunatianus,
Clarus,
Alypius,
Augustinus,
Restitutus,
"Donatianus (""cum sancto sene Donatiano"")",418Carth
Cresconius,
Iocundus,
Aemilianus,
Seuerianus,
Asiaticus,
Donatus,
Plautius,
,
Aurelius,419Carth
Faustinus,419Carth
Vincentius Culusitanus,419Carth
Fortunatianus Neapolitanus,419Carth
Marianus Vzipparensis,419Carth
Adeodatus Simidiccensis,419Carth
Pentadius Carpitanus,419Carth
Rufinianus Muzu(c)ensis,419Carth
Praetextatus Sicilibbensis,419Carth
Quoduultdeus Vcrensis,419Carth
Candidus Abbiritanus Germanicianorum,419Carth
Gallonianus Vtinensis,419Carth
Alypius Thagastensis,419Carth
Augustinus Hipponeregiensis,419Carth
Possidius Calamensis,419Carth
Maximianus Aquaregiensis,419Carth
Iucundus Sufetulensis,419Carth
Hilarianus Horreocaeliensis,419Carth
Nouatus Sitifensis,419Carth
Leo Moptensis,419Carth
Ninellus Rusuccurensis,419Carth
Laurentius Icositanus,419Carth
Numerianus Rusguniensis,419Carth
in subscr:,
Maximinus Sufetanus,419Carth
Philippus presbyter legatus ecclesiae Romanae,419Carth
Asellus presbyter legatus ecclesiae Romanae,419Carth
,
Aurelius,427Hippo
Simplicius,427Hippo
Augustinus,427Hippo
"(""et ceteri"")",
,
Bonifatius,525Carth
Aurelius,
Redemptiolus notarius,525Carth
Firmus Tipassensis,525Carth
Marianus Tuliensis,525Carth
Felix Zactarensis,525Carth
Florentianus,525Carth
Messor,525Carth
Peregrinus Curubitanus,525Carth
Venerius Carpitanus,525Carth
Iunianus Simminensis,525Carth
Marcianus Culusitanus,525Carth
Cresconius Binensis,525Carth
ceteri,
Ianuarius,525Carth
Vincentius Gerbitanus,525Carth
Gaius Tacapitanus,525Carth
Secundus,525Carth
Optatus Sitifensis,
Liberatus,
Agileius diaconus,525Carth
likely all present at 418Carth,
Aurelius,418Carth?
Vincentius,418Carth?
Fortunatianus,418Carth?
Clarus,418Carth?
Alypius,418Carth?
Augustinus,418Carth?
Restitutus,418Carth?
"Donatiano (""cum sancto sene Donatiano primate"")",418Carth
Cresconius,418Carth?
Iucundus,418Carth?
Aemilianus,418Carth?
Seuerianus,418Carth?
Asiaticus,418Carth?
Donatus,418Carth?
Plautius,418Carth?
Atticus,525Carth
Gratus,345Carth
Elpidophorus ep. Cuiculitanus,345Carth
Aurelius,397Carth
Bonifatius,424Carth
Aurelius,401Carth
Aurelius,422Carth?
Aurelius,397Carth2
Numidius,397Carth2
Epigonius,397Carth2
Postumianus,397Carth2
Caecilianus,393Hippo
Theodorus,393Hippo
Aurelius,393Hippo
Honoratus,393Hippo
Epigonius,393Hippo
Megalius,393Hippo
Bonifatius,393Hippo
Bonifatius,525Carth
Ianuarius,525Carth
Ianuarius Masculitanae (signed by Ianuarius Veg),525Carth
Florentianus,525Carth
Firmus,525Carth
Marianus,525Carth
Felix,525Carth
Vincentius,525Carth
Secundinus,525Carth
Peregrinus,525Carth
Venerius,525Carth
Iunianus,525Carth
Mustulus,525Carth
Dalmatius,525Carth
Faustinianus,525Carth
Florentius,525Carth
Pontius,525Carth
Columbus,525Carth
Gaius,525Carth
Marcianus,525Carth
Cresconius,525Carth
Victor,525Carth
Numidius,525Carth
Iohannes,525Carth
Patronianus,525Carth
Seruusdei,525Carth
Segetius,525Carth
Aemilianus,525Carth
Fortunatus,525Carth
Auus,525Carth
Victorinus,525Carth
Restitutus,525Carth
Vitulus,525Carth
Felicissimus,525Carth
Quietus,525Carth
Reparatus ep. Tubursicuburensis,525Carth
Reparatus ep. plebis Abitinensis,525Carth
Saturus,525Carth
Sementius,525Carth
Restitutus,525Carth
Cresconius,525Carth
Simeon,525Carth
Pascasius,525Carth
Constantius,525Carth
Sabinianus,525Carth
Restitutus ep. Plebis Sebargensis,525Carth
Restitutus ep. Plebis Viltensis,525Carth
Placidus,525Carth
Crescens,525Carth
Gaudiosus,525Carth
Porphyrius,525Carth
Seruusdei,525Carth
Quoduultdeus,525Carth
Felix,525Carth
Octauianus,525Carth
Florentinus,525Carth
Redemptus,525Carth
Restitutus,525Carth
Rufinus,525Carth
Optatus,525Carth
Donatus,525Carth
Bonifatius,525Carth
Gaudiosus,525Carth
Petrus abbas,525Carth
Redemptiolus notarius,525Carth
Liberatus,525Carth
Fortunatus presbyter,525Carth
Octauianus dcs,525Carth
Felix dcs,525Carth
Renatus dcs,525Carth
Vincentius senior,525Carth
Gentius senior,525Carth
Ponticanus,525Carth
,
Felicianus,536Carth
Zactarensis,536Carth
Fortunatus,
,
Aurelius,397Carth prob
,
,HISPANA
Aurelius,397Carth2
Crisconius Villaregiensis,
Honoratus,397Carth2
Vrbanus,397Carth2
Epigonius,397Carth2
Iulianus,
Numidius,397Carth2
Victor,
Postumianus,397Carth2
Augustinus,397Carth2
,
Aurelius,"""4th Carthage"" in Hispana"
Donatianus,"""4th Carthage"" in Hispana"
Augustinus,"""4th Carthage"" in Hispana"
similiter omnes epi…,
,HISPANA
Aurelius,401Carth
similiter 73 epi,
,HISPANA
Aurelius,402Mil
Valentinus,402Mil
,Note: these are listed in 402Mil but the list is the same as that of 418Carth
Vincentius,*402Mil
Fortunatianus,*402Mil
Clarus,*402Mil
Alipius,*402Mil
Augustinus,*402Mil
Restitutus,*402Mil
Cresconius,*402Mil
Iucundus,*402Mil
Aemilianus,*402Mil
Seuerianus,*402Mil
Casiatticus,*402Mil
Donatus,*402Mil
Plautius,*402Mil
Donatianus Teleptensis,402Mil
