council,person
404Carth,TheasiusMemblonitanus
404Carth,EuodiusUzalensis
404Carth,AureliusCarthaginensis
407Carth,AureliusCarthaginensis
407Carth,VincentiusCulusitanus
407Carth,FortunatianusNeapolitanus
407Carth,MaurentiusThubursicensis
407Carth,PlacentinusMadaurensis
407Carth,XantippusNumidiae
407Carth,AugustinusHipponensis
407Carth,FlorentiusHipponensiumDiarrhytorum
407Carth,TheasiusMemblonitanus
407Carth,SamsuciusTurrensis
407Carth,SecundusIgnoti
407Carth,PossidiusCalamensis
408CarthJun,FortunatianusNeapolitanus
408CarthOct,RestitutusTagorensis
408CarthOct,FlorentiusHipponensiumDiarrhytorum
410Carth,FlorentiusHipponensiumDiarrhytorum
410Carth,PossidiusCalamensis
410Carth,PraesidiusIgnoti
410Carth,BenenatusSimittensis
418Carth,AureliusCarthaginensis
418Carth,VincentiusCulusitanus
418Carth,FortunatianusNeapolitanus
418Carth,ClarusProconsularis
418Carth,AlypiusThagastensis
418Carth,AugustinusHipponensis
418Carth,RestitutusNouasinnensis
418Carth,DonatianusTheleptensis
418Carth,CresconiusTemonianensis
418Carth,IucundusSufetulensis
418Carth,AemilianusAraditanus
418Carth,SeuerianusMauritaniaeSitifensis
418Carth,AsiaticusMauritaniaeSitifensis
418Carth,DonatusMauritaniaeSitifensis
418Carth,PlautiusTripolitaniae
419Carth,AureliusCarthaginensis
419Carth,FaustinusPotentinus
419Carth,VincentiusCulusitanus
419Carth,FortunatianusNeapolitanus
419Carth,MarianusUzipparitanus
419Carth,AdeodatusSimidiccensis
419Carth,PentadiusCarpitanus
419Carth,RufinianusMuzucensis
419Carth,PraetextatusSicilibbensis
419Carth,QuoduultdeusUcrensis
419Carth,CandidusAbbiritanusGermanicianorum
419Carth,GallonianusUtinensis
419Carth,AlypiusThagastensis
419Carth,AugustinusHipponensis
419Carth,PossidiusCalamensis
419Carth,MaximianusAquensiumRegiorum
419Carth,IucundusSufetulensis
419Carth,HilarianusHorreocaeliensis
419Carth,NouatusMauritaniaeSitifensis
419Carth,LeoMoptensis
419Carth,NinellusRusuccurrensis
419Carth,LaurentiusIcositanus
419Carth,NumerianusRusguniensis
419Carth,MaximinusSufetanus
427Hippo,AureliusCarthaginensis
427Hippo,SimpliciusIgnoti
427Hippo,AugustinusHipponensis
418Carth,AureliusCarthaginensis
418Carth,VincentiusCulusitanus
418Carth,FortunatianusNeapolitanus
418Carth,ClarusProconsularis
418Carth,AlypiusThagastensis
418Carth,AugustinusHipponensis
418Carth,RestitutusNouasinnensis
418Carth,DonatianusTheleptensis
418Carth,CresconiusTemonianensis
418Carth,IucundusSufetulensis
418Carth,AemilianusAraditanus
418Carth,SeuerianusMauritaniaeSitifensis
418Carth,AsiaticusMauritaniaeSitifensis
418Carth,DonatusMauritaniaeSitifensis
418Carth,PlautiusTripolitaniae
397Carth2,AureliusCarthaginensis
401CarthSept,AureliusCarthaginensis
397Carth2,AureliusCarthaginensis
397Carth2,NumidiusMaxulitanus
397Carth2,EpigoniusBullensiumregiorum
397Carth2,PostumianusThagorensis
393Hippo,CaecilianusIgnoti
393Hippo,TheodorusIgnoti
393Hippo,AureliusCarthaginensis
393Hippo,HonoratusMauretaniaeSitifensis
393Hippo,EpigoniusBullensiumregiorum
393Hippo,MegaliusCalamensis
390Carth,GenethliusCarthaginensis
397Carth2,AureliusCarthaginensis
397Carth2,AureliusCarthaginensis
397Carth2,HonoratusMauretaniaeSitifensis
397Carth2,UrbanusMauretaniaeSitifensis
397Carth2,EpigoniusBullensiumregiorum
397Carth2,NumidiusMaxulitanus
397Carth2,PostumianusThagorensis
397Carth2,AugustinusHipponensis
Carth4,AureliusCarthaginensis
Carth4,DonatianusTheleptensis
Carth4,AugustinusHipponensis
401CarthJun,AureliusCarthaginensis
402Mil,AureliusCarthaginensis
402Mil,ValentinusBaianensis
418Carth,VincentiusCulusitanus
418Carth,FortunatianusNeapolitanus
418Carth,ClarusProconsularis
418Carth,AlypiusThagastensis
418Carth,AugustinusHipponensis
418Carth,RestitutusNouasinnensis
418Carth,DonatianusTheleptensis
418Carth,CresconiusTemonianensis
418Carth,IucundusSufetulensis
418Carth,AemilianusAraditanus
418Carth,SeuerianusMauritaniaeSitifensis
418Carth,AsiaticusMauritaniaeSitifensis
418Carth,DonatusMauritaniaeSitifensis
418Carth,PlautiusTripolitaniae
418Carth,DonatianusTheleptensis
